well_id,row,column,well_type,compound_id,concentration_um,signal_rfu
A01,A,1,positive_control,CTRL_POS,0,5231.4
A02,A,2,positive_control,CTRL_POS,0,4987.2
B01,B,1,positive_control,CTRL_POS,0,5102.8
B02,B,2,positive_control,CTRL_POS,0,5344.1
A12,A,12,negative_control,CTRL_NEG,0,4821.3
B12,B,12,negative_control,CTRL_NEG,0,4633.7
C12,C,12,negative_control,CTRL_NEG,0,5011.9
D12,D,12,negative_control,CTRL_NEG,0,4755.0
A03,A,3,compound,CPD_001,10,4901.2
A04,A,4,compound,CPD_002,10,5233.8
A05,A,5,compound,CPD_003,10,4788.5
A06,A,6,compound,CPD_004,10,5102.3
A07,A,7,compound,CPD_005,10,4655.9
A08,A,8,compound,CPD_006,10,5301.4
A09,A,9,compound,CPD_007,10,4899.7
A10,A,10,compound,CPD_008,10,5044.2
A11,A,11,compound,CPD_009,10,4712.6
